EGF,TGFA
EGF,JUN
TGFA,GRB2
TGFA,NRAS
TGFA,GAB1
TGFA,PIK3R2
AREG,PAK2
AREG,SOS2
AREG,KRAS
AREG,ARAF
EGFR,TGFA
ERBB2,CAMK2A
ERBB2,SRC
ERBB2,PTK2
ERBB2,NCK1
PLCG1,NRG4
PLCG2,PRKCG
PLCG2,ABL1
PLCG2,NRG3
PLCG2,RPS6KB2
CAMK2A,PAK1
CAMK2A,PAK3
CAMK2A,JUN
CAMK2A,MAP2K2
CAMK2D,NCK2
CAMK2D,MAP2K1
CAMK2D,MYC
CAMK2B,EGFR
CAMK2B,PTK2
CAMK2B,NRAS
CAMK2B,RPS6KB1
CAMK2G,PAK4
CAMK2G,MAPK10
CAMK2G,HRAS
CAMK2G,RAF1
PRKCA,CAMK2A
PRKCA,PAK6
PRKCA,MAPK1
PRKCA,RPS6KB1
PRKCB,CAMK2A
PRKCB,CAMK2B
PRKCB,CBL
PRKCB,HRAS
PRKCG,AREG
PRKCG,KRAS
PRKCG,PIK3R3
PRKCG,CDKN1B
CBL,HRAS
CBL,NRAS
CBLB,NRG1
CBLB,SHC4
CBLB,GSK3B
CBLB,CDKN1B
STAT5A,AKT2
STAT5B,PRKCA
STAT5B,ERBB4
STAT5B,MAP2K1
SRC,CAMK2G
SRC,NCK1
SRC,NRG4
SRC,CDKN1A
PTK2,PAK4
PTK2,BTC
PTK2,AKT3
CRK,AREG
CRK,ERBB2
CRK,NCK2
CRKL,CAMK2G
CRKL,CBLB
CRKL,PIK3CD
CRKL,AKT1
ABL1,CAMK2B
ABL1,PAK5
ABL1,BTC
ABL1,SHC4
ABL2,CRKL
ABL2,PAK2
ABL2,MAPK3
ABL2,GSK3B
NCK1,CAMK2A
NCK1,STAT5B
NCK1,PAK5
NCK1,KRAS
NCK2,STAT5A
NCK2,SHC1
NCK2,AKT2
PAK1,CAMK2B
PAK1,CAMK2G
PAK1,PAK3
PAK1,MTOR
PAK2,ERBB2
PAK2,PRKCB
PAK2,AKT1
PAK2,CDKN1A
PAK3,CAMK2D
PAK3,MAPK10
PAK3,SOS2
PAK3,AKT3
PAK4,CAMK2D
PAK5,PAK3
PAK5,AKT3
PAK6,BTC
PAK6,NRG4
PAK6,PIK3R2
MAP2K4,SHC1
MAP2K7,PAK1
MAP2K7,PAK5
MAP2K7,ARAF
MAP2K7,MTOR
MAPK8,PTK2
MAPK8,PAK2
MAPK8,PIK3R1
MAPK10,EGFR
MAPK10,CAMK2D
MAPK10,SHC3
MAPK10,MAPK1
MAPK9,PAK1
MAPK9,EREG
MAPK9,NRG3
JUN,PLCG1
JUN,MYC
JUN,PIK3R2
ELK1,PLCG2
ELK1,JUN
ELK1,SHC4
ELK1,ARAF
BTC,CBL
BTC,ERBB4
BTC,MAP2K2
HBEGF,STAT5B
HBEGF,MAPK8
HBEGF,ERBB3
HBEGF,RPS6KB2
EREG,CBL
EREG,PTK2
EREG,NRG3
EREG,PIK3CB
ERBB3,EGF
ERBB3,MAPK8
ERBB3,PIK3R3
ERBB3,BAD
NRG1,ERBB2
NRG1,PRKCA
NRG1,EREG
NRG1,PIK3R2
NRG2,STAT5B
NRG2,CRK
NRG2,SHC4
NRG2,PIK3CB
ERBB4,MAP2K4
ERBB4,MAPK1
SHC1,NRG4
SHC2,EREG
SHC2,MAP2K1
SHC2,RPS6KB2
SHC2,BAD
SHC3,MAP2K2
SHC4,STAT5B
SHC4,PAK6
SHC4,MAPK9
SHC4,MYC
SOS1,CRK
SOS1,BRAF
SOS1,MAPK3
SOS1,BAD
SOS2,TGFA
SOS2,BTC
HRAS,SHC3
HRAS,GRB2
HRAS,GAB1
HRAS,AKT2
KRAS,PLCG1
KRAS,CBL
KRAS,MTOR
NRAS,STAT5A
ARAF,EGF
ARAF,PRKCA
ARAF,ERBB4
ARAF,RPS6KB1
BRAF,PLCG2
BRAF,CRKL
BRAF,MAPK9
BRAF,GSK3B
RAF1,PLCG1
RAF1,PAK4
RAF1,MAP2K1
MAP2K1,STAT5A
MAP2K1,SHC1
