EGF,CBLB
EGF,NRG2
EGF,MYC
TGFA,PRKCB
TGFA,CRKL
TGFA,SHC2
TGFA,PIK3R2
AREG,PLCG1
AREG,CAMK2D
EGFR,GAB1
EGFR,EIF4EBP1
EGFR,BAD
ERBB2,EGF
ERBB2,BRAF
ERBB2,PIK3R2
ERBB2,AKT2
PLCG2,STAT5A
PLCG2,PAK3
PLCG2,MYC
CAMK2A,TGFA
CAMK2A,CRKL
CAMK2A,BRAF
CAMK2A,RPS6KB1
CAMK2D,KRAS
CAMK2B,PIK3CB
CAMK2G,EGFR
CAMK2G,CRK
CAMK2G,GAB1
CAMK2G,AKT3
PRKCA,CRKL
PRKCA,MAP2K7
PRKCA,ERBB3
PRKCA,ARAF
PRKCB,PRKCA
PRKCB,CRKL
PRKCB,BRAF
PRKCB,AKT1
PRKCG,ERBB3
PRKCG,MAPK3
PRKCG,AKT3
PRKCG,MTOR
CBL,PAK3
CBL,PIK3R3
CBLB,PLCG1
CBLB,RAF1
CBLB,PIK3CB
STAT5B,PRKCA
STAT5B,NRG1
STAT5B,SOS1
STAT5B,EIF4EBP1
SRC,EGFR
SRC,PAK5
SRC,AKT3
PTK2,CAMK2G
PTK2,STAT5A
PTK2,MAPK10
PTK2,SHC2
CRK,CBL
CRK,PAK3
CRK,KRAS
CRKL,NCK1
CRKL,MAPK9
CRKL,SHC3
CRKL,GAB1
ABL1,EGF
ABL1,PLCG2
ABL2,MAP2K4
ABL2,SOS2
ABL2,MAP2K2
ABL2,AKT1
NCK1,CAMK2B
NCK1,CAMK2G
NCK1,MTOR
NCK2,CRK
NCK2,ARAF
NCK2,MYC
NCK2,RPS6KB2
PAK1,PLCG1
PAK1,CAMK2D
PAK1,PAK3
PAK2,PRKCG
PAK2,ABL1
PAK2,PIK3CA
PAK2,BAD
PAK3,CAMK2D
PAK3,STAT5A
PAK4,PAK5
PAK4,ARAF
PAK4,PIK3CD
PAK5,EGF
PAK5,NRAS
PAK5,PIK3R3
PAK5,BAD
PAK6,ABL1
PAK6,ERBB4
PAK6,HRAS
PAK6,PIK3CA
MAP2K4,CAMK2G
MAP2K4,SRC
MAP2K4,NCK2
MAP2K4,GSK3B
MAP2K7,PRKCG
MAP2K7,SRC
MAP2K7,MAP2K2
MAP2K7,PIK3R1
MAPK8,PLCG1
MAPK8,CBLB
MAPK8,PTK2
MAPK8,ELK1
MAPK10,PAK1
MAPK10,NRG2
MAPK10,SHC1
MAPK10,NRAS
MAPK9,CBL
MAPK9,PAK4
MAPK9,BTC
MAPK9,RPS6KB2
JUN,PRKCG
JUN,BTC
JUN,HBEGF
JUN,SHC3
ELK1,EGFR
ELK1,SHC2
ELK1,MAP2K1
BTC,AREG
BTC,CAMK2D
BTC,ARAF
BTC,GSK3B
HBEGF,PRKCB
HBEGF,PAK2
HBEGF,ELK1
HBEGF,PIK3R2
EREG,NCK2
EREG,MAPK8
EREG,SOS1
EREG,EIF4EBP1
ERBB3,CRK
ERBB3,NCK1
ERBB3,MAPK3
ERBB3,MTOR
NRG1,ERBB3
NRG1,MAP2K2
NRG1,PIK3R3
NRG1,RPS6KB1
NRG2,PLCG2
NRG2,CAMK2B
NRG2,SHC1
NRG2,SHC2
ERBB4,EREG
ERBB4,NRG3
ERBB4,AKT1
SHC1,AREG
SHC2,BAD
SHC3,ABL1
SHC3,NCK2
SHC3,NRAS
SHC3,RPS6KB1
SHC4,CAMK2A
SHC4,CAMK2B
SHC4,PAK4
SHC4,AKT2
GRB2,ERBB2
GRB2,PAK4
GRB2,MAP2K4
GRB2,NRG4
SOS1,PRKCA
SOS1,PAK5
SOS1,MAP2K1
SOS1,AKT2
SOS2,SHC4
SOS2,SOS1
SOS2,MAPK1
SOS2,AKT3
HRAS,PRKCA
HRAS,MAP2K4
HRAS,NRG1
HRAS,MAPK1
NRAS,CBLB
NRAS,RAF1
ARAF,PTK2
ARAF,RAF1
ARAF,RPS6KB2
BRAF,PAK6
BRAF,MAP2K7
BRAF,PIK3R1
BRAF,RPS6KB1
RAF1,PLCG2
RAF1,SHC1
RAF1,MYC
RAF1,PIK3CB
MAP2K1,CBLB
MAP2K1,SRC
MAP2K1,CRK
MAP2K1,BTC
MAP2K2,PTK2
MAP2K2,MAP2K4
MAP2K2,MAPK9
MAP2K2,SHC3
MAPK3,MAPK10
MAPK3,NRG2
MAPK3,PIK3R3
MYC,PAK1
MYC,KRAS
GAB1,STAT5A
GAB1,ABL1
GAB1,MAPK1
NRG3,EREG
NRG3,NRAS
NRG3,PIK3CD
NRG3,PIK3R1
NRG4,MAPK9
NRG4,JUN
NRG4,SOS1
NRG4,MAP2K1
PIK3CA,MAP2K7
PIK3CA,EREG
PIK3CA,PIK3CD
PIK3CA,CDKN1B
PIK3CD,CAMK2G
PIK3CD,PRKCG
PIK3CD,SRC
PIK3CD,EIF4EBP1
PIK3R1,PAK5
PIK3R1,ELK1
PIK3R1,NRG1
PIK3R1,MAPK3
PIK3R2,PTK2
PIK3R2,PAK2
PIK3R2,PAK6
PIK3R2,HRAS
PIK3R3,MAPK1
AKT1,EGFR
AKT1,STAT5B
AKT1,NCK1
AKT1,NRG3
AKT2,NCK2
AKT2,SHC1
AKT2,PIK3R1
AKT2,GSK3B
AKT3,AREG
AKT3,PLCG2
AKT3,MAPK10
AKT3,RAF1
MTOR,EGF
MTOR,AREG
MTOR,MAPK8
MTOR,GAB1
RPS6KB1,MAPK9
RPS6KB1,RPS6KB2
RPS6KB2,PAK1
RPS6KB2,MAPK3
RPS6KB2,PIK3CB
EIF4EBP1,CAMK2B
EIF4EBP1,CBL
EIF4EBP1,PAK1
EIF4EBP1,MAPK10
GSK3B,CBL
GSK3B,NRG2
GSK3B,KRAS
CDKN1B,ERBB4
CDKN1B,MAP2K1
CDKN1B,PIK3CD
CDKN1B,AKT1
CDKN1A,MAP2K7
CDKN1A,EREG
CDKN1A,SHC3
CDKN1A,NRG4

