PTCH1,GLI3
PTCH2,CSNK1G2
PTCH2,CSNK1G1
PTCH2,DISP1
PTCH2,EVC
PTCH2,ARRB2
SMO,PTCH2
SMO,CSNK1A1L
SMO,SHH
SMO,SCUBE2
SMO,GRK3
PRKACA,GLI1
PRKACA,CCND2
PRKACA,HHATL
PRKACA,IHH
PRKACB,HHIP
PRKACB,CCND1
PRKACB,CCND2
PRKACB,DHH
PRKACG,PRKACB
PRKACG,HHATL
PRKACG,MEGF8
PRKACG,GRK3
PRKACG,CUL3
CSNK1A1L,KIF7
CSNK1A1L,BOC
CSNK1A1L,LRP2
CSNK1A1L,MEGF8
CSNK1A1L,GRK3
CSNK1G2,CSNK1D
CSNK1G2,SUFU
CSNK1G2,BTRC
CSNK1G2,DISP1
CSNK1G2,GRK3
CSNK1G3,CSNK1G1
CSNK1G3,KIF7
CSNK1G3,CCND1
CSNK1G3,BOC
CSNK1G3,KIF3A
CSNK1G1,FBXW11
CSNK1D,GLI1
CSNK1D,KIF7
CSNK1D,CUL1
CSNK1D,MEGF8
CSNK1D,KIF3A
CSNK1E,PTCH1
CSNK1E,CSNK1G3
CSNK1E,DISP1
CSNK1E,MGRN1
CSNK1E,GRK3
GSK3B,CSNK1G1
GSK3B,GLI3
GSK3B,HHAT
GSK3B,DHH
GSK3B,CDON
GLI1,CDON
GLI2,CSNK1A1
GLI2,ARRB2
GLI3,GLI2
SUFU,CSNK1A1L
SUFU,CSNK1G3
SUFU,GLI2
SUFU,DISP1
SUFU,MGRN1
KIF7,HHATL
KIF7,IQCE
KIF7,KIF3A
HHIP,SMURF2
CCND1,BCL2
CCND1,EVC
CCND2,ARRB2
BCL2,DHH
BCL2,CDON
BCL2,EVC
CUL1,PRKACB
CUL1,CSNK1A1L
CUL1,CCND2
CUL1,IHH
CUL1,MEGF8
BTRC,BCL2
BTRC,FBXW11
FBXW11,PRKACB
FBXW11,GLI3
FBXW11,CCND2
FBXW11,IQCE
HHAT,PRKACA
HHAT,CSNK1A1
HHAT,CSNK1G1
HHAT,CUL1
HHAT,MGRN1
HHATL,HHIP
HHATL,CUL3
SHH,PRKACG
SHH,BTRC
SHH,BOC
SHH,LRP2
SHH,ARRB1
IHH,GLI2
IHH,CDON
IHH,SMURF2
DHH,CSNK1A1
DHH,GLI1
DHH,IHH
DISP1,PTCH1
DISP1,CSNK1D
DISP1,GLI2
DISP1,BOC
DISP1,GRK2
SCUBE2,CSNK1G3
SCUBE2,SUFU
SCUBE2,HHIP
SCUBE2,BTRC
SCUBE2,SPOP
BOC,BTRC
BOC,FBXW11
BOC,CDON
GAS1,PRKACA
GAS1,PRKACG
GAS1,CSNK1D
GAS1,BCL2
GAS1,LRP2
LRP2,PRKACA
LRP2,PRKACG
LRP2,HHATL
LRP2,ARRB2
LRP2,CUL3
MEGF8,PRKACB
MEGF8,HHIP
MEGF8,DHH
MEGF8,BOC
MEGF8,EVC
MGRN1,CSNK1A1L
MGRN1,CSNK1G3
MGRN1,CSNK1D
MGRN1,GLI2
MGRN1,GAS1
SMURF1,BCL2
SMURF1,HHAT
SMURF1,HHATL
SMURF1,SMURF2
SMURF1,ARRB2
SMURF2,PTCH1
SMURF2,GLI3
SMURF2,IQCE
GRK2,PRKACG
GRK2,CSNK1A1
GRK2,GSK3B
GRK2,BTRC
GRK2,HHAT
GRK3,CSNK1G3
GRK3,CCND1
GRK3,CCND2
GRK3,FBXW11
GRK3,IQCE
EVC,GLI3
EVC2,GSK3B
EVC2,DHH
EVC2,SMURF2
EVC2,EVC
EFCAB7,CSNK1A1L
EFCAB7,GLI1
EFCAB7,SCUBE2
EFCAB7,SMURF2
EFCAB7,IQCE
IQCE,PTCH1
ARRB1,PRKACG
ARRB1,CSNK1A1
ARRB1,GSK3B
ARRB1,SCUBE2
ARRB1,EVC2
KIF3A,PTCH1
KIF3A,PRKACA
KIF3A,CCND1
KIF3A,FBXW11
CUL3,PRKACB
CUL3,CCND1
CUL3,IHH
CUL3,MEGF8
SPOP,PRKACA
SPOP,KIF7
SPOP,BCL2
SPOP,EVC2
SPOP,CUL3
SPOPL,CSNK1D
SPOPL,CSNK1E
SPOPL,GLI1
SPOPL,KIF3A
SPOPL,CUL3

