Description,Pathway.geneSymbol,Overlapping.geneSymbol,Overlapping.geneID,Count,GeneRatio,pvalue,p.adjust
PI3K-AKT_SIGNALING_PATHWAY,EGF/FGF1/FGF2/FGF3/FGF4/FGF17/FGF6/FGF7/FGF8/FGF9/FGF10/FGF11/FGF12/FGF13/FGF14/FGF16/FGF5/FGF18/FGF19/FGF20/FGF21/FGF22/FGF23/NGF/INS/IGF1/PDGFA/PDGFB/PDGFC/PDGFD/CSF1/KITLG/VEGFA/VEGFB/PGF/VEGFC/FIGF/HGF/ANGPT1/ANGPT2/ANGPT4/EFNA1/EFNA2/EFNA3/EFNA4/EFNA5/EGFR/FGFR1/FGFR2/FGFR3/FGFR4/NGFR/INSR/IGF1R/PDGFRA/PDGFRB/CSF1R/KIT/FLT1/FLT4/KDR/MET/TEK/EPHA2/GRB2/SOS1/SOS2/HRAS/KRAS/NRAS/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/IRS1/TLR2/TLR4/RAC1/SYK/CD19/PIK3AP1/GH1/GH2/CSH1/CSH2/PRL/OSM/IL2/IL3/IL6/IL4/IL7/IFNA1/IFNA2/IFNA4/IFNA5/IFNA6/IFNA7/IFNA8/IFNA10/IFNA13/IFNA14/IFNA16/IFNA17/IFNA21/IFNB1/EPO/CSF3/GHR/PRLR/OSMR/IL2RA/IL2RB/IL2RG/IL3RA/IL6R/IL4R/IL7R/IFNAR1/IFNAR2/EPOR/CSF3R/JAK1/JAK2/JAK3/COL1A1/COL1A2/COL2A1/COL3A1/COL5A1/COL5A2/COL11A1/COL11A2/COL5A3/COL24A1/COL27A1/COL4A2/COL4A4/COL4A6/COL4A1/COL4A5/COL4A3/COL6A1/COL6A2/COL6A3/COL6A6/COL6A5/LAMA1/LAMA2/LAMA3/LAMA5/LAMA4/LAMB1/LAMB2/LAMB3/LAMB4/LAMC1/LAMC2/LAMC3/CHAD/RELN/THBS1/COMP/THBS2/THBS3/THBS4/FN1/SPP1/VTN/TNC/TNN/TNR/TNXB/VWF/IBSP/ITGA1/ITGA2/ITGA2B/ITGA3/ITGA4/ITGA5/ITGA6/ITGA7/ITGA8/ITGA9/ITGA10/ITGA11/ITGAV/ITGB1/ITGB3/ITGB4/ITGB5/ITGB6/ITGB7/ITGB8/PTK2/F2R/CHRM1/CHRM2/LPAR1/LPAR2/LPAR3/LPAR4/LPAR5/LPAR6/GNB1/GNB2/GNB3/GNB4/GNB5/GNG2/GNG3/GNG4/GNG5/GNG7/GNG8/GNG10/GNG11/GNG12/protein)/GNG13/GNGT1/GNGT2/PDPK1/STK11/PRKAA1/PRKAA2/DDIT4/TSC1/TSC2/RHEB/MLST8/MTOR/RPTOR/EIF4EBP1/EIF4E/EIF4E2/EIF4E1B/RPS6KB1/RPS6KB2/EIF4B/RPS6/PKN1/PKN3/PKN2/SGK1/SGK2/SGK3/C8orf44-SGK3/AKT1/AKT2/AKT3/PTEN/THEM4/PPP2CA/PPP2CB/PPP2R1B/PPP2R1A/PPP2R2A/PPP2R2B/PPP2R2C/PPP2R2D/PPP2R3B/PPP2R3C/PPP2R3A/PPP2R5B/PPP2R5C/PPP2R5D/PPP2R5E/PPP2R5A/HSP90AA1/HSP90AB1/HSP90B1/CDC37/CRTC2/PHLPP1/PHLPP2/TCL1A/TCL1B/MTCP1/NOS3/BRCA1/GSK3B/GYS2/GYS1/PCK1/PCK2/G6PC/G6PC2/G6PC3/MYC/CCND1/CDKN1A/CDKN1B/CDK2/CDK4/CDK6/CCND2/CCND3/CCNE1/CCNE2/FOXO3/RBL2/FASLG/BCL2L11/YWHAZ/YWHAB/YWHAQ/YWHAE/YWHAH/YWHAG/BAD/BCL2L1/BCL2/CASP9/CREB1/ATF2/ATF4/CREB3/CREB3L1/CREB3L2/CREB3L3/CREB3L4/CREB5/ATF6B/MCL1/RXRA/NR4A1/IKBKG/CHUK/IKBKB/RELA/NFKB1/MYB/MDM2/TP53/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/PRKCA/PRKCZ,PDGFD/EFNA1/EFNA2/FGFR3/CSF1R/PRLR/JAK1/COL5A1/COL5A2/COL4A5/COL6A1/THBS1/ITGA2/ITGB1/ITGB5/LPAR2/GNG10/GNGT1/NOS3/CDK6/PIK3R1/PRKCZ,80310/1942/1943/2261/1436/5618/3716/1289/1290/1287/1291/7057/3673/3688/3693/9170/2790/2792/4846/1021/5295/5590,22,22/772,1.62E-10,7.27E-09
HIPPO_SIGNALING_PATHWAY,CRB2/CRB1/PARD3/PARD6A/PARD6G/PARD6B/PRKCZ/PRKCI/INADL/MPP5/AMOT/YAP1/WWTR1/CDH1/LIMD1/AJUBA/WTIP/NF2/WWC1/FRMD1/FRMD6/SAV1/STK3/RASSF6/RASSF1/PPP2CA/PPP2CB/PPP2R1B/PPP2R1A/PPP2R2A/PPP2R2B/PPP2R2C/PPP2R2D/LATS2/LATS1/MOB1A/MOB1B/PPP1CA/PPP1CB/PPP1CC/TP53BP2/LLGL2/LLGL1/SCRIB/DLG1/DLG4/DLG2/DLG3/CSNK1D/CSNK1E/readthrough/BTRC/FBXW11/TP73/BBC3/TEAD1/TEAD4/TEAD3/TEAD2/CTGF/GLI2/AREG/BIRC5/AFP/ITGB2/FGF1/TGFB1/TGFB2/TGFB3/TGFBR1/TGFBR2/SMAD2/SMAD3/SMAD4/SERPINE1/BMP2/BMP4/BMP5/BMP6/BMP7/BMP8B/BMP8A/GDF7/GDF5/GDF6/AMH/BMPR1A/BMPR1B/BMPR2/SMAD1/ID1/ID2/WNT1/WNT2/WNT2B/WNT3/WNT3A/WNT4/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WNT8A/WNT8B/WNT9A/WNT9B/WNT10B/WNT10A/WNT11/WNT16/FZD1/FZD7/FZD2/FZD3/FZD4/FZD5/FZD8/FZD6/FZD10/FZD9/DVL3/DVL2/DVL1/YWHAZ/YWHAB/YWHAQ/YWHAE/YWHAH/YWHAG/GSK3B/CTNNB1/APC/APC2/AXIN1/AXIN2/TCF7/TCF7L1/TCF7L2/LEF1/MYC/CCND1/CCND2/CCND3/SOX2/SNAI2/ACTB/ACTG1/CTNNA3/CTNNA1/CTNNA2/BIRC2/SMAD7/NKD1,PRKCZ/WWC1/FRMD6/SCRIB/FBXW11/CTGF/ITGB2/TGFB2/TGFBR2/SERPINE1/BMP7/WNT4/WNT5A/FZD6,5590/23286/122786/23513/23291/3689/7042/7048/5054/655/54361/7474/8323,14,14/772,1.38E-09,6.22E-08
CHEMOKINE_SIGNALING_PATHWAY,CXCL1/CXCL2/CXCL3/CXCL5/CXCL6/PPBP/CXCL8/CXCL9/CXCL10/CXCL11/CXCL12/CXCL13/CXCL16/PF4/PF4V1/CXCL14/XCL1/XCL2/CX3CL1/CCL2/CCL3/CCL3L1/CCL3L3/CCL4/CCL4L2/CCL4L1/CCL5/CCL7/CCL8/CCL11/CCL13/CCL15/CCL23/CCL19/CCL20/CCL21/CCL25/CCL27/CCL28/CCL1/CCL14/CCL16/CCL17/CCL18/CCL22/CCL24/CCL26/CXCR2/CXCR1/CXCR3/CXCR4/CXCR5/CXCR6/XCR1/CX3CR1/CCR8/CCR6/CCR9/CCR4/CCR7/CCR2/CCR5/CCR1/CCR3/CCR10/JAK2/JAK3/STAT1/STAT2/STAT3/STAT5B/GNAI1/GNAI3/GNAI2/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/PRKACA/PRKACB/PRKACG/PRKX/LYN/HCK/FGR/SRC/SHC1/SHC2/SHC3/SHC4/GRB2/SOS1/SOS2/HRAS/KRAS/NRAS/RAF1/BRAF/MAP2K1/MAPK1/MAPK3/PIK3R1/PIK3R5/PIK3R2/PIK3R3/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PRKCZ/AKT1/AKT2/AKT3/FOXO3/CHUK/IKBKB/IKBKG/NFKBIA/NFKBIB/NFKB1/RELA/GSK3A/GSK3B/ITK/VAV3/VAV1/VAV2/RAC1/RAC2/PAK1/CDC42/WAS/WASL/RHOA/ROCK1/ROCK2/GNB1/GNB2/GNB3/GNB4/GNB5/GNG2/GNG3/GNG4/GNG5/GNG7/GNG8/GNG10/GNG11/GNG12/protein)/GNG13/GNGT1/GNGT2/PREX1/ELMO1/DOCK2/PTK2/PXN/BCAR1/CRK/CRKL/PTK2B/PLCB1/PLCB2/PLCB3/PLCB4/RASGRP2/RAP1A/RAP1B/PARD3/TIAM1/NCF1/GRK7/GRK1/ADRBK1/ADRBK2/GRK4/GRK5/GRK6/ARRB1/ARRB2/PRKCB/PRKCD,CXCL14/CX3CL1/CCL5/CCL22/STAT1/PIK3R1/PRKCZ/NFKBIA/RAC2/WASL/GNG10/GNGT1/ELMO1/GRK5,9547/6376/6352/6367/6772/5295/5590/4792/5880/8976/2790/2792/9844/2869,14,14/772,2.27E-08,1.02E-06
TGF-BETA_SIGNALING_PATHWAY,CHRD/NOG/THBS1/DCN/LEFTY1/LEFTY2/FST/BMP2/BMP4/BMP5/BMP6/BMP7/BMP8B/BMP8A/GDF7/GDF5/GDF6/AMH/TGFB1/TGFB2/TGFB3/INHBA/INHBB/INHBC/INHBE/NODAL/BMPR2/AMHR2/TGFBR2/ACVR2A/ACVR2B/BMPR1A/BMPR1B/ACVR1/TGFBR1/ACVR1B/BAMBI/SMAD1/SMAD5/SMAD9/SMAD2/SMAD3/SMAD4/SMAD6/SMAD7/SMURF1/SMURF2/ZFYVE9/ZFYVE16/ID1/ID2/ID3/ID4/RBL1/E2F4/E2F5/TFDP1/CREBBP/EP300/SP1/MYC/CDKN2B/PITX2/RBX1/CUL1/SKP1/MAPK1/MAPK3/IFNG/TNF/RHOA/ROCK1/PPP2R1B/PPP2R1A/PPP2CA/PPP2CB/RPS6KB1/RPS6KB2/ACVR1C/LTBP1,THBS1/BMP7/TGFB2/TGFBR2/ID4/E2F5/CREBBP/CDKN2B/PITX2,7057/655/7042/7048/3400/1875/1387/1030/5308,9,9/772,7.14E-08,3.21E-06
THYROID_HORMONE_SIGNALING_PATHWAY,PRKACA/PRKACB/PRKACG/PRKX/ITGAV/ITGB3/HRAS/KRAS/NRAS/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/STAT1/TP53/ESR1/THRB/NCOR1/SIN3A/HDAC1/HDAC2/HDAC3/THRA/RXRA/RXRB/RXRG/KAT2B/KAT2A/NCOA1/NCOA2/NCOA3/CREBBP/EP300/MED4/MED12L/MED12/MED13L/MED13/MED14/MED16/MED17/MED24/MED27/MED30/MED1/CCND1/GATA4/RCAN1/HIF1A/MYC/PLN/WNT4/CTNNB1/NOTCH1/NOTCH2/NOTCH3/NOTCH4/PLCB1/PLCB2/PLCB3/PLCB4/PLCD1/PLCD3/PLCD4/PLCE1/PLCG1/PLCG2/PLCZ1/PRKCA/PRKCB/PRKCG/SLC9A1/ATP1A1/ATP1A2/ATP1A3/ATP1A4/ATP1B4/ATP1B1/ATP1B2/ATP1B3/FXYD2/SLC16A2/SLC16A10/SRC/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/PDPK1/AKT1/AKT2/AKT3/GSK3B/MDM2/TSC2/RHEB/MTOR/TBC1D4/PFKFB2/BAD/FOXO1/CASP9/RCAN2/SLC2A1/SLCO1C1/DIO1/DIO2/DIO3/ACTB/ACTG1/MYH6/ATP2A2/PFKP/BMP4,STAT1/CREBBP/MED16/RCAN1/WNT4/NOTCH3/SLC16A10/PIK3R1/FOXO1/PFKP,6772/1387/10025/1827/54361/4854/117247/5295/2308/5214,10,10/772,3.67E-07,1.65E-05
RAP1_SIGNALING_PATHWAY,RAP1A/RAP1B/MRAS/RAPGEF5/DOCK4/GRIN1/GRIN2A/GRIN2B/CALML3/CALM2/CALM3/CALM1/CALML6/CALML5/F2R/F2RL3/P2RY1/FPR1/LPAR1/LPAR2/LPAR3/LPAR4/LPAR5/ADORA2A/ADORA2B/GNAS/ADCY1/ADCY2/ADCY3/ADCY4/ADCY5/ADCY6/ADCY7/ADCY8/ADCY9/RAPGEF3/RAPGEF4/GNAQ/PLCB1/PLCB2/PLCB3/PLCB4/RASGRP3/RASGRP2/EGF/FGF1/FGF2/FGF3/FGF4/FGF17/FGF6/FGF7/FGF8/FGF9/FGF10/FGF11/FGF12/FGF13/FGF14/FGF16/FGF5/FGF18/FGF19/FGF20/FGF21/FGF22/FGF23/NGF/INS/IGF1/PDGFA/PDGFB/PDGFC/PDGFD/CSF1/KITLG/VEGFA/VEGFB/PGF/VEGFC/FIGF/HGF/ANGPT1/ANGPT2/ANGPT4/EFNA1/EFNA2/EFNA3/EFNA4/EFNA5/EGFR/FGFR1/FGFR2/FGFR3/FGFR4/NGFR/INSR/IGF1R/PDGFRA/PDGFRB/CSF1R/KIT/FLT1/FLT4/KDR/MET/TEK/EPHA2/CRK/CRKL/RAPGEF1/BCAR1/CDH1/CTNNB1/MAGI1/MAGI2/MAGI3/RAPGEF2/RAPGEF6/LAT/FYB/LCP2/SKAP1/PLCG1/PRKCA/PRKCB/PRKCG/PRKD1/PRKD3/PRKD2/DRD2/CNR1/GNAI1/GNAI3/GNAI2/GNAO1/RAP1GAP/SIPA1L1/SIPA1/SIPA1L2/SIPA1L3/ID1/THBS1/RALGDS/RALA/RALB/RAC1/RAC2/RAC3/APBB1IP/TLN1/TLN2/ITGA2B/ITGB3/PFN3/PFN1/PFN2/PFN4/VASP/ACTB/ACTG1/ARAP3/RHOA/SRC/FARP2/CDC42/TIAM1/PARD3/PARD6A/PARD6G/PARD6B/PRKCZ/PRKCI/MLLT4/CTNND1/KRIT1/RGS14/RASSF5/ITGAL/ITGAM/ITGB2/ITGB1/BRAF/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/MAP2K3/MAP2K6/MAPK11/MAPK12/MAPK13/MAPK14/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/PLCE1/HRAS/KRAS/NRAS/RRAS/VAV2,LPAR2/PDGFD/EFNA1/EFNA2/FGFR3/CSF1R/THBS1/RAC2/PRKCZ/KRIT1/ITGB2/ITGB1/PIK3R1,9170/80310/1942/1943/2261/1436/7057/5880/5590/889/3689/3688/5295,13,13/772,5.99E-07,2.69E-05
FOXO_SIGNALING_PATHWAY,TGFB1/TGFB2/TGFB3/TGFBR1/TGFBR2/SMAD4/SMAD2/SMAD3/STK11/PRKAA1/PRKAA2/PRKAB1/PRKAB2/PRKAG1/PRKAG3/PRKAG2/NLK/SKP2/MDM2/SETD7/CREBBP/EP300/SIRT1/USP7/SLC2A4/MAPK8/MAPK10/MAPK9/STK4/IGF1/IGF1R/INS/INSR/IRS1/IRS2/IRS4/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/PDPK1/CHUK/IKBKB/PTEN/AKT1/AKT2/AKT3/SGK1/SGK2/SGK3/C8orf44-SGK3/FOXO1/FOXO3/FOXO4/FOXO6/GRM1/HOMER1/HOMER2/HOMER3/AGAP2/CSNK1E/readthrough/IL6/IL10/STAT3/EGF/EGFR/GRB2/SOS1/SOS2/HRAS/KRAS/NRAS/BRAF/RAF1/ARAF/MAP2K1/MAP2K2/MAPK1/MAPK3/MAPK11/MAPK12/MAPK13/MAPK14/CDK2/PRMT1/FOXG1/CCNB1/CCNB2/CCNB3/CCND1/CCND2/CCNG2/CDKN2B/CDKN2D/CDKN1A/CDKN1B/RBL2/PLK1/PLK2/PLK3/PLK4/GADD45A/GADD45B/GADD45G/FASLG/BCL2L11/TNFSF10/BCL6/BNIP3/ATG12/GABARAP/GABARAPL1/GABARAPL2/CAT/SOD2/ATM/PCK1/PCK2/G6PC/G6PC2/G6PC3/IL7R/KLF2/S1PR1/S1PR4/RAG1/RAG2/FBXO25/FBXO32,TGFB2/TGFBR2/CREBBP/PIK3R1/FOXO1/HOMER3/CDKN2B/GADD45B/KLF2,7042/7048/1387/5295/2308/9454/1030/4616/10365,9,9/772,8.60E-06,0.000387056
WNT_SIGNALING_PATHWAY,PORCN/WNT1/WNT2/WNT2B/WNT3/WNT3A/WNT4/WNT5A/WNT5B/WNT6/WNT7A/WNT7B/WNT8A/WNT8B/WNT9A/WNT9B/WNT10B/WNT10A/WNT11/WNT16/CER1/WIF1/SOST/DKK1/DKK2/DKK4/SFRP1/SFRP2/SFRP4/SFRP5/FZD1/FZD7/FZD2/FZD3/FZD4/FZD5/FZD8/FZD6/FZD10/FZD9/LRP5/LRP6/BAMBI/CSNK1E/readthrough/DVL3/DVL2/DVL1/FRAT1/FRAT2/CSNK2A1/CSNK2A2/CSNK2B/NKD1/NKD2/CXXC4/SENP2/GSK3B/CTNNB1/AXIN1/AXIN2/APC/APC2/CSNK1A1L/CSNK1A1/TCF7/TCF7L1/TCF7L2/LEF1/CTNNBIP1/CHD8/SOX17/CTBP1/CTBP2/CREBBP/EP300/RUVBL1/SMAD4/MAP3K7/NLK/MYC/JUN/FOSL1/CCND1/CCND2/CCND3/PPARD/MMP7/PSEN1/PRKACA/PRKACB/PRKACG/PRKX/TP53/SIAH1/CACYBP/SKP1/TBL1X/TBL1Y/TBL1XR1/BTRC/FBXW11/CUL1/RBX1/GPC4/VANGL2/VANGL1/PRICKLE1/PRICKLE2/DAAM1/DAAM2/RHOA/ROCK2/RAC1/RAC2/RAC3/MAPK8/MAPK10/MAPK9/PLCB1/PLCB2/PLCB3/PLCB4/CAMK2A/CAMK2D/CAMK2B/CAMK2G/PPP3CA/PPP3CB/PPP3CC/PPP3R1/PPP3R2/PRKCA/PRKCB/PRKCG/NFATC1/NFATC2/NFATC3/NFATC4/SMAD3,WNT4/WNT5A/FZD6/LRP5/CREBBP/TBL1X/FBXW11/RAC2/PPP3CB,54361/7474/8323/4041/1387/6907/23291/5880/5532,9,9/772,1.26E-05,0.000569175
RAS_SIGNALING_PATHWAY,EGF/FGF1/FGF2/FGF3/FGF4/FGF17/FGF6/FGF7/FGF8/FGF9/FGF10/FGF11/FGF12/FGF13/FGF14/FGF16/FGF5/FGF18/FGF19/FGF20/FGF21/FGF22/FGF23/NGF/INS/IGF1/PDGFA/PDGFB/PDGFC/PDGFD/CSF1/KITLG/VEGFA/VEGFB/PGF/VEGFC/FIGF/HGF/ANGPT1/ANGPT2/ANGPT4/EFNA1/EFNA2/EFNA3/EFNA4/EFNA5/EGFR/FGFR1/FGFR2/FGFR3/FGFR4/NGFR/INSR/IGF1R/PDGFRA/PDGFRB/CSF1R/KIT/FLT1/FLT4/KDR/MET/TEK/EPHA2/GRB2/GAB1/GAB2/SHC1/SHC2/SHC3/SHC4/PTPN11/SOS1/SOS2/PLCG1/PLCG2/RASGRP1/RASGRP2/RASGRP3/RASGRP4/ZAP70/LAT/HTR7/GNB1/GNB2/GNB3/GNB4/GNB5/GNG2/GNG3/GNG4/GNG5/GNG7/GNG8/GNG10/GNG11/GNG12/protein)/GNG13/GNGT1/GNGT2/PRKACA/PRKACB/PRKACG/PRKX/RASGRF1/RASGRF2/GRIN1/GRIN2A/GRIN2B/CALML3/CALM2/CALM3/CALM1/CALML6/CALML5/HRAS/KRAS/NRAS/MRAS/RRAS/RRAS2/NF1/RASA1/RASA2/RASA3/RASA4/RASA4B/SYNGAP1/RASAL1/RASAL2/RASAL3/RASSF1/RASSF5/STK4/TIAM1/RAC1/RAC2/RAC3/PAK1/PAK2/PAK3/PAK4/PAK6/PAK7/RHOA/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/IKBKG/CHUK/IKBKB/NFKB1/RELA/BAD/BCL2L1/FOXO4/FASLG/MLLT4/RAF1/MAP2K1/MAP2K2/MAPK1/MAPK3/PLA1A/PLA2G10/PLA2G2D/PLA2G2E/PLA2G3/PLA2G2F/PLA2G12A/PLA2G12B/PLA2G1B/PLA2G5/PLA2G2A/PLA2G2C/PLA2G4E/PLA2G4A/JMJD7-PLA2G4B/PLA2G4B/PLA2G4C/PLA2G4D/PLA2G4F/PLA2G6/PLA2G16/ELK1/ETS1/ETS2/BRAP/KSR1/KSR2/RAPGEF5/RAP1A/RAP1B/RALGDS/RGL1/RGL2/RALA/RALB/MAPK8/MAPK10/MAPK9/EXOC2/TBK1/REL/PLD1/PLD2/RALBP1/CDC42/PLCE1/PRKCA/PRKCB/PRKCG/RIN1/ABL1/ABL2/RAB5A/RAB5B/RAB5C/ARF6,PDGFD/EFNA1/EFNA2/FGFR3/CSF1R/GNG10/GNGT1/RAC2/PIK3R1/PLA2G16/RGL1,80310/1942/1943/2261/1436/2790/2792/5880/5295/23179,11,11/772,3.85E-05,0.001730261
HIF-1_SIGNALING_PATHWAY,IL6/IL6R/STAT3/TLR4/IFNG/IFNGR1/IFNGR2/RELA/NFKB1/INS/EGF/IGF1/INSR/EGFR/IGF1R/ERBB2/MAP2K1/MAP2K2/MAPK1/MAPK3/MKNK1/MKNK2/PIK3CA/PIK3CD/PIK3CB/PIK3CG/PIK3R1/PIK3R5/PIK3R2/PIK3R3/AKT1/AKT2/AKT3/MTOR/EIF4EBP1/EIF4E/EIF4E2/EIF4E1B/RPS6KB1/RPS6KB2/RPS6/HIF1A/VHL/RBX1/TCEB1/TCEB2/CUL2/EGLN1/EGLN3/EGLN2/ARNT/CREBBP/EP300/NOX3/NOX1/CYBB/PLCG1/PLCG2/PRKCA/PRKCB/PRKCG/CAMK2A/CAMK2D/CAMK2B/CAMK2G/TIMP1/LTBR/EPO/TF/TFRC/VEGFA/FLT1/SERPINE1/ANGPT1/ANGPT2/ANGPT4/TEK/EDN1/NOS2/NOS3/NPPA/SLC2A1/PDK1/HK3/HK1/HK2/HKDC1/GAPDH/ENO3/ENO2/ENO1/PFKFB3/BCL2/CDKN1A/CDKN1B/PDHA2/PDHA1/PDHB/ALDOA/HMOX1/LDHA/PFKL/PGK1,PIK3R1/TCEB2/CREBBP/SERPINE1/NOS3/HK2/HMOX1,5295/1387/5054/4846/3099/3162,7,7/772,5.12E-05,0.002303112
