geneID,From NS sampling,From HAR sampling,From MH sampling,Log Fold-Change,Gene.title
NOG,--,0.0368033812205001,--,0.0615172382253473,noggin
THBS1,0.1625599169483,0.15216437169888,--,1.22149260617149,thrombospondin 1
DCN,--,0.0280027551026799,--,0.104989969472006,decorin
LEFTY1,0.1660533784244,--,--,0.0422603278533993,left-right determination factor 1
FST,0.0546089757445402,0.15109842073586,0.0817608022548001,0.0405243019632451,follistatin
BMP2,--,0.04513597863986,0.08297542857028,-0.153547560741524,bone morphogenetic protein 2
BMP4,0.0531434328520999,--,0.0813720500187799,0.0496298669429569,bone morphogenetic protein 4
BMP5,0.0579639261661601,--,--,-0.00290467561953811,bone morphogenetic protein 5
BMP6,0.0549112501752402,--,--,-0.0149169662424944,bone morphogenetic protein 6
BMP7,0.0517674339773999,0.0375385587229999,0.177468561076499,-0.933111876654484,bone morphogenetic protein 7
BMP8B,--,0.0505997597503798,--,-0.0772954853852799,bone morphogenetic protein 8b
BMP8A,--,0.14238135719674,--,0.0459294929136265,bone morphogenetic protein 8a
GDF7,0.055337916886576,--,--,-0.184042322556621,growth differentiation factor 7
AMH,0.05453676097002,--,0.16543765085218,0.0954882005401636,anti-Mullerian hormone
TGFB2,0.16495865956262,--,--,0.70635405177513,transforming growth factor beta 2
INHBA,0.0541989194321599,0.0338556556498,0.0775473005690398,-0.00524159798368551,inhibin beta A subunit
INHBB,--,0.0301649348614999,--,-0.388030257404388,inhibin beta B subunit
NODAL,--,0.037554666342332,--,-0.0775444567513288,nodal growth differentiation factor
BMPR2,--,0.1429477571378,--,0.704800227591887,bone morphogenetic protein receptor type 2
TGFBR2,--,0.16085454191904,--,1.00574326224201,transforming growth factor beta receptor 2
ACVR2B,0.15937916980864,--,0.1734253180028,0.133561154992749,activin A receptor type 2B
BMPR1B,--,0.1573933397214,0.0825782932347638,0.118649535618941,bone morphogenetic protein receptor type 1B
ACVR1,0.16285023905474,0.0387921388356599,0.17375122158384,0.151193651749326,activin A receptor type 1
ACVR1B,0.16429511886684,0.03542711060182,--,0.0862008431371466,activin A receptor type 1B
BAMBI,--,0.0370385135558681,0.0871640728751999,0.350394974567839,BMP and activin membrane bound inhibitor
SMAD1,0.05022632511676,--,--,0.19974761494604,SMAD family member 1
SMAD5,--,0.04006445199614,--,-0.0631120414980257,SMAD family member 5
SMAD9,0.057111098185066,--,--,0.108666566681185,SMAD family member 9
SMAD2,0.16169642174788,--,--,0.15039236163063,SMAD family member 2
SMAD3,--,0.13777318002382,--,0.273339255422906,SMAD family member 3
SMAD4,--,--,0.17316463792054,0.197391325780249,SMAD family member 4
SMAD6,--,0.15627931809804,--,-0.0856317674210487,SMAD family member 6
SMAD7,0.0552321907828597,--,--,0.150360399016886,SMAD family member 7
SMURF1,0.0565156367669999,0.04099735875194,--,0.251960543872081,SMAD specific E3 ubiquitin protein ligase 1
ZFYVE9,0.053842916253,0.1503411984394,--,0.118893444559556,zinc finger FYVE-type containing 9
ZFYVE16,0.16137975306874,--,0.1691304126518,-0.0542068753684788,zinc finger FYVE-type containing 16
ID1,0.16636398870606,--,0.17544435660682,0.305307542999829,"inhibitor of DNA binding 1, HLH protein"
ID3,0.16761195856136,0.0411799001772,--,-0.00621777126238321,"inhibitor of DNA binding 3, HLH protein"
ID4,0.0471897473266819,--,0.17396433405291,0.500907953845183,"inhibitor of DNA binding 4, HLH protein"
RBL1,--,0.0439746198325201,--,-0.253190878417676,RB transcriptional corepressor like 1
E2F5,--,0.149303806575201,0.17273155185986,0.477958234061846,E2F transcription factor 5
TFDP1,--,0.15106031371636,--,-0.174052511424735,transcription factor Dp-1
CREBBP,0.0559560501776599,0.0500314129186814,--,0.536597093824994,CREB binding protein
EP300,--,0.15343172101888,--,0.0580038324790309,E1A binding protein p300
SP1,--,0.1460300504168,--,-0.00253513798962857,Sp1 transcription factor
CDKN2B,0.0583742151294802,0.14991894062146,--,1.09581830172907,cyclin dependent kinase inhibitor 2B
PITX2,--,--,0.0851952311840599,-0.603633247547319,paired like homeodomain 2
RBX1,0.1647904627892,--,0.0830751946075797,-0.0185924214853852,ring-box 1
CUL1,--,0.149773376886034,--,-0.0160471945963252,cullin 1
MAPK1,--,--,0.0846535116618396,0.141796160849294,mitogen-activated protein kinase 1
MAPK3,0.1658358559373,0.0431683777786701,--,0.134162693407287,mitogen-activated protein kinase 3
IFNG,0.0618178275967199,0.1453313065484,0.0814171458032601,0.0857193105372875,interferon gamma
RHOA,--,--,0.16490783670616,-0.264381818412794,ras homolog family member A
PPP2CA,0.0599316109897001,--,--,0.115046392097012,protein phosphatase 2 catalytic subunit alpha
PPP2CB,--,--,0.0851697909343398,-0.388882822663901,protein phosphatase 2 catalytic subunit beta
RPS6KB2,0.048164700986584,--,--,-0.18307303758043,ribosomal protein S6 kinase B2
ACVR1C,--,--,0.07558339235106,0.0523121840367118,activin A receptor type 1C
